3 3 0.55 0.55 4 4 2 1
-0.695012 -2.82398 426
-0.822468 -2.81279 428
-0.948746 -2.79755 430
-1.07369 -2.77829 432
-1.19707 -2.75497 434
-1.31899 -2.72756 436
-1.43917 -2.6964 438
-1.55683 -2.66128 440
-1.67228 -2.6225 442
-1.78536 -2.58008 444
-1.89596 -2.53401 446
-2.00386 -2.48434 448
-2.10895 -2.43109 450
-2.21105 -2.37437 452
-2.30989 -2.31429 454
-2.40558 -2.25085 456
-2.49789 -2.18414 458
-2.58668 -2.11432 460
-2.6718 -2.04145 462
-2.75306 -1.96567 464
-2.8305 -1.88707 466
-2.9039 -1.80582 468
-2.97312 -1.72202 470
-3.03817 -1.63579 472
-3.09852 -1.54748 474
-3.15501 -1.45677 476
-3.20718 -1.36401 478
-3.25474 -1.26938 480
-3.29775 -1.17305 482
-3.33598 -1.07506 484
-3.36934 -0.975628 486
-3.39776 -0.874705 488
-3.42128 -0.772509 490
-3.43996 -0.669276 492
-3.45372 -0.565015 494
-3.4626 -0.460028 496
-3.46655 -0.354344 498
-3.46554 -0.248166 500
-3.45914 -0.142061 502
-3.44828 -0.0353073 504
-3.43253 0.0715563 506
-3.41289 0.17806 508
-3.3896 0.285482 510
-3.35932 0.391462 512
-3.32427 0.496879 514
-3.28448 0.601599 516
-3.24003 0.705476 518
-3.19096 0.808294 520
-3.13734 0.909963 522
-3.07927 1.0104 524
-3.01682 1.10932 526
-2.9501 1.20655 528
-2.8793 1.3021 530
-2.80444 1.39581 532
-2.72559 1.48775 534
-2.64288 1.57765 536
-2.55648 1.66538 538
-2.46647 1.75084 540
-2.37332 1.83416 542
-2.27649 1.91458 544
-2.17644 1.99227 546
-2.07313 2.06688 548
-1.96678 2.13845 550
-1.85757 2.20698 552
-1.74566 2.27235 554
-1.63123 2.33454 556
-1.51445 2.39346 558
-1.39546 2.44909 560
-1.27455 2.50127 562
-1.15196 2.5499 564
-1.02779 2.59488 566
-0.902161 2.63611 568
-0.775231 2.6736 570
-0.647198 2.70731 572
-0.518278 2.73722 574
-0.388632 2.76322 576
-0.258442 2.78533 578
-0.12788 2.80346 580
0.00329285 2.81706 582
0.133961 2.82635 584
0.264246 2.83242 586
0.394167 2.83455 588
0.523577 2.83268 590
0.652272 2.82681 592
0.780059 2.81695 594
0.906909 2.80301 596
1.03274 2.78531 598
1.15663 2.76333 600
1.27894 2.73728 602
1.39943 2.70725 604
1.5178 2.67335 606
1.634 2.63581 608
1.74792 2.59464 610
1.85937 2.54979 612
1.96821 2.5013 614
2.07427 2.44923 616
2.17735 2.39366 618
2.27727 2.33472 620
2.37409 2.27233 622
2.46757 2.20666 624
2.55745 2.13782 626
2.6438 2.06598 628
2.72642 1.99115 630
2.80513 1.91356 632
2.87939 1.83336 634
2.95 1.75038 636
3.01643 1.66489 638
3.07872 1.57712 640
3.13669 1.48714 642
3.19019 1.39506 644
3.2393 1.30101 646
3.28385 1.20526 648
3.32372 1.10779 650
3.35875 1.00885 652
3.38883 0.908439 654
3.41398 0.806655 656
3.43429 0.703775 658
3.44923 0.600293 660
3.45977 0.495531 662
3.46534 0.390078 664
3.46599 0.28406 666
3.4617 0.177626 668
3.45247 0.0708971 670
3.43832 -0.0359397 672
3.41962 -0.142568 674
3.39862 -0.250107 676
3.36995 -0.356237 678
3.33648 -0.461854 680
3.29827 -0.566827 682
3.25537 -0.671 684
3.20783 -0.774163 686
3.15572 -0.87623 688
3.09913 -0.977123 690
3.03813 -1.07652 692
2.97283 -1.17438 694
2.90335 -1.27045 696
2.82985 -1.36483 698
2.75229 -1.45735 700
2.67085 -1.54792 702
2.58565 -1.63637 704
2.49683 -1.7226 706
2.40448 -1.80643 708
2.30882 -1.88778 710
2.20985 -1.96642 712
2.10766 -2.04215 714
2.00255 -2.11494 716
1.89429 -2.18451 718
1.78327 -2.25094 720
1.66966 -2.3142 722
1.55364 -2.3742 724
1.43539 -2.4309 726
1.31509 -2.48427 728
1.19303 -2.53409 730
1.06936 -2.58031 732
0.944202 -2.62279 734
0.817685 -2.66152 736
0.689975 -2.69652 738
0.561346 -2.72769 740
0.431917 -2.75502 742
0.301893 -2.77842 744
0.171436 -2.79788 746
0.0407444 -2.81338 748
-0.0902924 -2.82407 750
-0.220886 -2.83088 752
-0.350954 -2.83431 754
-0.480545 -2.83377 756
-0.609498 -2.82922 758
-0.737621 -2.8207 760
-0.864699 -2.80815 762
